year,id,state,age,pid_3,race_7,educ_6,gender,understanding_poli_issue,interest_public_affairs,income_group,marital_stat,trust_ppl,religion_importance,traditional_values,abortion_allowed,environment_regulation,defense_spending,protect_homosexuals,immigrants_change6,gun_control,treatment,nationality,race,pid,education
2020,2020459619,CA,40,1,5,5,Female,Slightly well,,0 to 16 percentile,Married,About half the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",DK; haven't thought much about it,DK; haven't thought much about it,Favor,Same as now,More difficult,Treatment4,American,Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020230214,TX,42,3,2,2,Female,Extremely well,,0 to 16 percentile,"Partners; not married (VOLUNTEERED [exc.1986,2012])",Once in a while,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",Much tougher regulations to protet the environment,Greatly increase defense spending,Favor,Increased a lot,More difficult,Treatment4,American,Black non-Hispanic,Republican,"9-12 grades ('high school'), no diploma/equivalency; ; less than high school"
2020,2020329138,MS,32,1,1,5,Female,Slightly well,,34 to 67 percentile,Never married,About half the time,Little to no importance,Disagree somewhat,"By law, a woman should always be able to obtain an",Much tougher regulations to protet the environment,4,Favor,Increased a little,More difficult,Treatment1,American,White non-Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020406196,OK,56,3,1,5,Male,No response,,68 to 95 percentile,Married,Most of the time,Little to no importance,No response,The law should permit abortion for reasons other than,5,6,Oppose,No response,No response,Treatment3,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020340555,NJ,51,2,1,6,Female,Very well,,68 to 95 percentile,Never married,About half the time,"Yes, important",Neither agree nor disagree,"By law, a woman should always be able to obtain an",2,6,Favor,Same as now,More difficult,Treatment3,American,White non-Hispanic,Independent,BA level degrees; advanced degrees incl. LLB
2020,2020300137,MN,29,1,1,6,Male,Moderately well,,34 to 67 percentile,Never married,Most of the time,Little to no importance,Disagree strongly,The law should permit abortion for reasons other than,2,3,Favor,Same as now,Keep these rules about the same,Treatment4,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020321516,NC,35,2,1,6,Male,Very well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Disagree strongly,The law should permit abortion for reasons other than,Much tougher regulations to protet the environment,2,Favor,Increased a little,Keep these rules about the same,Treatment1,American,White non-Hispanic,Independent,BA level degrees; advanced degrees incl. LLB
2020,2020205751,AR,80,3,1,5,Female,No response,,17 to 33 percentile,Married,About half the time,"Yes, important",No response,"The law should permit abortion only in case of rape,",DK; haven't thought much about it,5,No response,No response,No response,Treatment3,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020329855,MO,37,1,1,6,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Disagree strongly,DK; other,Much tougher regulations to protet the environment,Greatly decrease defense spending,Favor,Increased a lot,More difficult,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020527024,PA,45,3,1,4,Female,Moderately well,,0 to 16 percentile,Married,About half the time,"Yes, important",Neither agree nor disagree,"The law should permit abortion only in case of rape,",5,4,Oppose,Same as now,Keep these rules about the same,Treatment3,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency plus non-academic"
2020,2020213141,NE,21,3,1,5,Male,No response,,17 to 33 percentile,Never married,About half the time,Little to no importance,No response,"By law, a woman should always be able to obtain an",4,4,Favor,No response,No response,Treatment1,American,White non-Hispanic,Republican,"Some college, no degree; junior/community college"
2020,2020228525,PA,80,1,1,6,Male,Very well,,17 to 33 percentile,Married,Most of the time,Little to no importance,Disagree somewhat,"By law, a woman should always be able to obtain an",5,DK; haven't thought much about it,Favor,Decreased a little,More difficult,Treatment1,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020221432,WA,54,1,1,6,Female,Slightly well,,34 to 67 percentile,Divorced,About half the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",3,DK; haven't thought much about it,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020210913,FL,58,1,1,6,Female,Moderately well,,68 to 95 percentile,Married,Most of the time,Little to no importance,Neither agree nor disagree,"By law, a woman should always be able to obtain an",3,2,Favor,Same as now,More difficult,Treatment2,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020442505,TN,51,3,1,6,Male,No response,,68 to 95 percentile,Married,Most of the time,"Yes, important",No response,The law should permit abortion for reasons other than,6,6,Favor,No response,No response,Treatment1,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020302003,TX,80,1,1,6,Male,Very well,,34 to 67 percentile,Married,Most of the time,"Yes, important",Agree strongly,"By law, a woman should always be able to obtain an",2,5,Favor,Increased a little,More difficult,Treatment4,American,White non-Hispanic,Democrat,BA level degrees; advanced degrees incl. LLB
2020,2020523923,LA,63,3,1,6,Female,Very well,,0 to 16 percentile,Divorced,Most of the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",5,Greatly increase defense spending,Favor,Decreased a little,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020415374,OH,54,3,6,5,Male,Moderately well,,0 to 16 percentile,Divorced,Most of the time,Little to no importance,Agree strongly,The law should permit abortion for reasons other than,Much tougher regulations to protet the environment,Greatly increase defense spending,Favor,Decreased a lot,Keep these rules about the same,Treatment3,American,"Other or multiple races, non-Hispanic",Republican,"Some college, no degree; junior/community college"
2020,2020223889,MA,46,3,1,6,Male,Very well,,96 to 100 percentile,Married,Most of the time,"Yes, important",Agree somewhat,The law should permit abortion for reasons other than,6,4,Oppose,Increased a little,More difficult,Treatment2,American,White non-Hispanic,Republican,BA level degrees; advanced degrees incl. LLB
2020,2020501831,MI,65,1,1,5,Male,Moderately well,,68 to 95 percentile,Married,Most of the time,"Yes, important",Agree somewhat,"By law, a woman should always be able to obtain an",3,5,Favor,Increased a little,More difficult,Treatment1,American,White non-Hispanic,Democrat,"Some college, no degree; junior/community college"
2020,2020422228,WV,75,3,1,3,Male,Slightly well,,34 to 67 percentile,Married,Most of the time,"Yes, important",Agree strongly,"The law should permit abortion only in case of rape,",5,5,Favor,Same as now,Keep these rules about the same,Treatment2,American,White non-Hispanic,Republican,"12 grades, diploma or equivalency"
